train/n_updates,train/loss,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
36720151,0.00022887412342242897,35308.8,0.11196612021857932,36721152,5.0808197788592896e-05,442,82981,-9617182.32342301,1040,,
36861847,0.00012195351882837713,35308.8,0.10931120218579238,36862848,5.065696828039618e-05,442,83287,-9496465.0230191,1044,,
37004695,0.00032293994445353746,35308.8,0.10663469945355197,37005696,5.0504509264002736e-05,442,83603,-9242556.55156598,1048,,
37145239,0.00012833606160711497,35308.8,0.10400136612021849,37146240,5.035450926400273e-05,442,83913,-9056763.652163979,1052,,
37286935,0.00010927633411483839,35308.8,0.10134644808743176,37287936,5.020327975580602e-05,442,84219,-9020083.1007061,1056,,
37426327,0.0006271891761571169,35308.8,0.09873469945355196,37427328,5.005450926400274e-05,442,84522,-8804359.99261729,1060,,
37568023,0.0002548474003560841,35308.8,0.0960797814207649,37569024,4.990327975580601e-05,442,84829,-8744833.9339863,1064,,
37710871,0.0002492564672138542,35308.8,0.09340327868852472,37711872,4.975082073941258e-05,442,85142,-8873970.762869662,1068,,
37851415,0.00018231745343655348,35308.8,0.09076994535519134,37852416,4.9600820739412576e-05,442,85449,-8647631.456694098,1072,,
37993111,0.0002508342149667442,35308.8,0.0881150273224045,37994112,4.944959123121585e-05,443,85756,-8767176.679607488,1076,,
38132503,0.00015349817113019526,35308.8,0.08550327868852448,38133504,4.930082073941257e-05,443,86064,-8788053.45128029,1080,,
38274199,0.00020709734235424548,35308.8,0.08284836065573764,38275200,4.9149591231215854e-05,443,86373,-8489200.39633062,1084,,
38417047,0.0010961380321532488,35308.8,0.08017185792349724,38418048,4.899713221482241e-05,443,86690,-8163665.453574721,1088,,
38557591,0.00032019882928580046,35308.8,0.07753852459016408,38558592,4.8847132214822405e-05,443,86998,-7871101.750190199,1092,,
38699287,0.0001864164660219103,35308.8,0.07488360655737702,38700288,4.869590270662569e-05,443,87315,-7960614.12485004,1096,,
38838679,0.00025674462085589767,35308.8,0.07227185792349722,38839680,4.854713221482241e-05,443,87626,-7948569.55860706,1100,,
38980375,0.00024271894653793424,35308.8,0.0696169398907105,38981376,4.839590270662569e-05,443,87944,-7519991.327662891,1104,,
39123223,0.00024342272081412375,35308.8,0.06694043715846987,39124224,4.824344369023224e-05,443,88262,-7379299.901399519,1108,,
39263767,0.0005785695975646377,35308.8,0.0643071038251366,39264768,4.8093443690232234e-05,443,88572,-7179104.710446221,1112,,
39405463,0.00014954101061448455,35308.8,0.061652185792349656,39406464,4.794221418203552e-05,443,88889,-7237404.205029401,1116,,
39544855,6.630539428442717e-05,35308.8,0.05904043715847007,39545856,4.779344369023225e-05,443,89201,-7205604.14132599,1120,,
39686551,8.994821109808981e-05,35308.8,0.056385519125683015,39687552,4.764221418203552e-05,443,89518,-6906369.49186087,1124,,
39829399,7.468394323950633e-05,35308.8,0.05370901639344261,39830400,4.748975516564208e-05,443,89835,-6713878.045383109,1128,,
39969943,8.039711246965453e-05,35308.8,0.051075683060109234,39970944,4.733975516564208e-05,443,90151,-6599609.597243761,1132,,
40111639,0.00029583738069050014,35308.8,0.0484207650273224,40112640,4.718852565744536e-05,443,90469,-6536400.823108571,1136,,
40251031,8.137973054545e-05,35308.8,0.04580901639344259,40252032,4.7039755165642084e-05,443,90780,-6327707.82744186,1140,,
40392727,0.0001225756132043898,35308.8,0.04315409836065576,40393728,4.6888525657445356e-05,443,91091,-6409945.936097461,1144,,
40535575,0.00010134278272744268,35308.8,0.04047759562841535,40536576,4.6736066641051924e-05,443,91407,-6162290.25923425,1148,,
40676119,0.00013783873873762786,35308.8,0.037844262295081976,40677120,4.658606664105192e-05,443,91714,-6023837.78272162,1152,,
