#{"t_start": 1769525024.005136, "env_id": "None"}
r,l,t
-13576712.492441,35712,12877.52132
-7096018.88829,35712,12950.099443
-4905455.543803,34560,13020.407718
-8739788.032693,34560,13090.346394
-18750017.959479,34560,13160.018762
-2865250.959575,35712,13231.844264
-20986817.631714,34560,13301.794263
-8202119.585605,35712,13374.236077
-13317529.490707,35712,13446.614146
-27293599.959395,35712,13518.983318
-19343178.49127,35712,13591.419291
-20931944.907662,35712,13663.865315
-14147444.420762,35712,13736.302625
-19841848.36817,35712,13808.873767
-17252344.754434,34560,13878.865191
-7632977.080316,35712,13950.859169
-32241538.616054,35712,14023.034403
-9321044.649278,34560,14092.774312
-6992332.515661,34560,14162.161482
-6870398.330686,35712,14234.104982
-16186814.324372,35712,14305.651107
-4583771.019268,35712,14377.193771
-9783235.349116,34560,14446.643078
-6611506.441617,34560,14516.094648
-15800280.257524,34560,14585.730128
-3914002.053837,35712,14657.941037
-21198743.880015,34560,14727.167801
-26209263.697626,35712,14799.148425
-23981111.952136,35712,14871.159619
-24867822.116066,35712,14942.92511
-12090276.227959,35712,15014.615593
-9021948.222149,35712,15086.395545
-7074264.796527,35712,15158.734283
-23561825.234159,35712,15232.189432
-13312318.088155,34560,15303.138138
-19268308.593374,35712,15376.424695
-23046307.355085,35712,15448.149485
-7073928.595592,34560,15517.555047
-13328594.58612,34560,15587.060766
-10176355.737613,35712,15659.128284
-6666020.054844,35712,15730.91935
-6691695.547887,35712,15803.267807
-7941305.964603,34560,15876.773637
-17238180.928758,34560,15946.613478
-10117862.538502,34560,16016.587861
-6168668.950358,35712,16088.643119
-30124845.884899,34560,16158.923027
-20628061.085766,35712,16230.973913
-10431676.495353,35712,16303.684931
-22638894.908765,35712,16376.086338
-20482088.889815,35712,16448.513043
-16003288.307237,35712,16521.186259
-5251973.032804,35712,16593.957239
-25927935.438993,35712,16666.146127
-10937766.260573,34560,16736.181312
-8110254.438772,35712,16808.5205
-12825832.630422,35712,16880.989436
-22081284.619755,34560,16951.279064
-10463240.989041,34560,17021.642257
-25157145.874022,35712,17094.540693
-8752453.940931,35712,17167.445275
-12325196.123624,35712,17240.317373
-6556879.881013,34560,17310.825619
-19047513.613602,34560,17381.39002
-26815231.940465,34560,17451.712794
-6112570.805199,35712,17524.30289
-8201437.949267,34560,17594.3042
-11885543.275285,35712,17666.472513
-11877904.742316,35712,17738.634542
-10884350.757377,35712,17810.974536
-20860295.237351,35712,17883.495896
-12407169.614158,35712,17956.171636
-14106840.857432,35712,18028.590546
-19449160.514471,35712,18101.295633
-5051380.331295,34560,18171.009274
-17109310.634743,35712,18243.086443
-18772901.064888,35712,18315.220683
-8835915.663828,34560,18385.017334
-7632469.940967,34560,18455.046587
-9750603.617632,35712,18527.314864
-9873536.47666,35712,18599.674604
-20561434.974402,35712,18671.796333
-13101709.577381,34560,18741.504291
-6874915.19599,34560,18811.311186
-22400635.34833,34560,18881.275198
-3976334.108822,35712,18953.906987
-11745261.240713,34560,19024.023575
-16537392.954856,35712,19096.390093
-8455552.977327,35712,19169.608641
-21044288.261136,35712,19242.482463
-9216426.962713,35712,19314.523913
-9328461.977463,35712,19387.173904
-37159043.647412,35712,19460.542984
-22217281.307067,35712,19532.822907
-11614134.818967,34560,19602.765453
-19245901.390966,35712,19675.104726
-5151720.051854,35712,19754.452003
-8245891.832874,34560,19824.271265
-8103825.908236,34560,19894.579917
-7997783.239424,35712,19966.885517
-17929051.931754,35712,20039.219974
-35959466.470749,35712,20111.828453
-14938014.324823,34560,20182.221372
-10841565.081122,34560,20252.843404
-10948676.864369,34560,20324.923563
-7839259.204799,35712,20401.866897
-8092361.58662,34560,20476.177673
-8725449.596492,35712,20553.161941
-17801740.694328,35712,20628.961318
-9923597.492758,35712,20701.421254
-10022350.076937,35712,20777.940202
-9334149.96677,35712,20855.889488
-11128030.92567,35712,20933.208964
-9837821.590881,35712,21011.500975
-7848631.465115,34560,21086.649063
-14132888.41065,35712,21165.049731
-13073514.451038,35712,21241.848949
-5829490.375192,34560,21311.881855
-14450810.477917,34560,21381.711334
-16982977.828172,35712,21454.176412
-7308815.288269,35712,21526.71069
-15091657.236707,35712,21599.1127
-7818899.693819,34560,21669.188791
-16044135.342372,34560,21739.798298
-11023901.553267,34560,21810.112002
-8023909.879558,35712,21883.187313
-7084785.251793,34560,21953.879451
-18495513.219764,35712,22026.550964
-10393687.549194,35712,22098.996995
-5788775.317586,35712,22171.583525
-17545622.531799,35712,22244.570855
-8308045.108311,35712,22316.933488
-9109696.226042,35712,22389.303022
-11974200.260298,35712,22461.819077
-6851839.444404,34560,22532.041562
-27340565.850968,35712,22604.541441
-7913391.022763,35712,22677.176413
-8863588.9513,34560,22747.990981
-12461911.727553,34560,22818.884751
-29347516.628574,35712,22891.119586
-10503519.123052,35712,22963.349533
-14878306.582307,35712,23035.77878
-7478739.280198,34560,23106.401987
-18183007.556111,34560,23176.767199
-12907480.710647,34560,23246.877041
-7456180.366037,35712,23319.342695
-11058793.388076,34560,23389.807808
-28951815.068214,35712,23462.255789
-8437005.675985,35712,23534.489227
-18756279.790677,35712,23607.174577
-27273907.166005,35712,23682.016642
-17429279.281454,35712,23754.104091
-4013824.915201,35712,23826.170823
-14112779.951287,35712,23898.500633
-30892413.588471,34560,23969.10385
-7777697.832356,35712,24041.178587
-6382735.707602,35712,24113.230592
-10364520.189979,34560,24183.008389
-32821493.239395,34560,24252.929221
-16080499.295077,35712,24325.53225
-7556785.824055,35712,24398.000705
-18441084.03828,35712,24470.353218
-8260854.530501,34560,24540.266581
-13930843.133185,34560,24610.282955
-8251092.940504,34560,24680.615981
-8096704.034335,35712,24752.770836
