#{"t_start": 1767930881.8028767, "env_id": "None"}
r,l,t
-8311497.612876,8784,38052.186892
-18346069.146092,8784,38068.324449
-43927079.486592,8784,38084.587675
-15267972.473684,8784,38100.785657
-100905058.717515,8784,38117.061937
-40242486.423909,8784,38133.25809
-41305123.895986,8784,38149.445442
-60354595.512935,8784,38165.684039
-5847445.21343,8784,38181.904984
-13081806.038616,8784,38198.105572
-37567653.872019,8784,38214.334135
-28176667.780669,8784,38230.531142
-18579129.322319,8784,38246.781312
-12084027.508553,8784,38262.986073
-31743727.797242,8784,38279.206893
-14643120.784806,8784,38295.439227
-15089669.386751,8784,38311.649956
-53510227.36508,8784,38327.864746
-32081691.844153,8784,38344.13215
-32192748.138912,8784,38360.305409
-16818003.568945,8784,38376.483694
-21788312.157036,8784,38392.693739
-40790827.442219,8784,38408.972999
-45618624.633339,8784,38425.193933
-40148795.399567,8784,38441.403116
-43334617.583988,8784,38457.643708
-36353446.354004,8784,38473.883588
-24547847.104106,8784,38490.19098
-48708580.398976,8784,38506.506662
-11870028.45392,8784,38522.794612
-19690985.10351,8784,38539.002042
-95554739.252275,8784,38555.295351
-63412799.765357,8784,38571.582061
-22726997.048495,8784,38587.793579
-22720581.967874,8784,38603.995751
-20107901.568532,8784,38620.271232
-19047330.351763,8784,38636.438365
-43347307.855154,8784,38694.714982
-27974725.535147,8784,38710.94609
-10279566.259882,8784,38727.216113
-51212565.092253,8784,38743.481647
-22475396.098608,8784,38759.735653
-5476248.494498,8784,38776.013965
-6022880.21406,8784,38792.24075
-34735440.833952,8784,38808.469358
-41619749.864783,8784,38824.708459
-7643280.375524,8784,38841.000001
-60770326.979672,8784,38857.278685
-80360296.322218,8784,38873.632841
-10428454.247595,8784,38889.92237
-9794943.797984,8784,38906.26314
-14114645.92057,8784,38922.505659
-44605431.622114,8784,38938.783628
-11492048.885847,8784,38954.959751
-40578866.846154,8784,38971.225698
-46697022.740282,8784,38987.813742
-17305282.424259,8784,39004.090082
-12636032.056799,8784,39020.494639
-80654015.247768,8784,39036.842503
-32914554.414625,8784,39053.156433
-27383691.358697,8784,39069.52218
-19436994.542706,8784,39086.002334
-10534690.917656,8784,39102.401019
-15257880.3378,8784,39118.82608
-15845086.998074,8784,39135.205187
-14514549.568246,8784,39151.545848
-32689019.171821,8784,39167.950093
-48988686.315086,8784,39184.37503
-8063911.134964,8784,39200.744378
-12145940.451446,8784,39217.129145
-27801414.735664,8784,39233.463392
-14263634.483217,8784,39249.835143
-61298894.058324,8784,39266.25963
-51459768.556167,8784,39282.62153
-49509026.598215,8784,39298.98946
-35238687.192015,8784,39315.386355
-34039367.524906,8784,39331.784088
-15532578.652239,8784,39348.194148
-50797871.644291,8784,39364.586857
-97612619.857118,8784,39380.992604
-8109608.225377,8784,39397.350774
-18072902.353514,8784,39413.699641
-14315718.346975,8784,39430.104809
-53274077.281934,8784,39446.490979
-15477992.634363,8784,39462.882218
-6168753.327891,8784,39479.258523
-44363761.426771,8784,39495.585977
-39004204.847163,8784,39554.159975
-41289811.000673,8784,39570.481424
-58591601.800937,8784,39586.813404
-8111566.244601,8784,39603.095855
-30269718.120033,8784,39619.417788
-13952846.957219,8784,39635.713104
-30376759.434267,8784,39652.024185
-14411675.964426,8784,39668.277076
-68744812.879105,8784,39684.631524
-20802592.074249,8784,39700.942509
-16373206.406858,8784,39717.279791
-46595216.451547,8784,39733.593701
-61707362.935501,8784,39749.899081
-55330508.106226,8784,39766.239755
-11952525.59,8784,39782.473499
-48716591.792298,8784,39798.760661
-59037803.749521,8784,39815.067589
-42100961.79343,8784,39831.394647
-35337391.834673,8784,39847.701684
-81716718.738622,8784,39864.074347
-43400532.167172,8784,39880.439436
-25766319.321118,8784,39896.761574
-7443361.648818,8784,39913.025165
-19141177.69299,8784,39929.348816
-10135366.063478,8784,39945.701846
-20894562.637368,8784,39962.088568
-17082178.565878,8784,39978.429636
-77093779.099382,8784,39994.809165
-41011188.190525,8784,40011.139117
-42407159.764046,8784,40027.433404
-30631823.609914,8784,40043.740655
-71163381.567913,8784,40060.128664
-10604908.18787,8784,40076.453817
-46895791.829254,8784,40092.751893
-26753240.257245,8784,40109.02745
-18775234.560727,8784,40125.416177
-10996606.897957,8784,40141.801332
-67385525.008686,8784,40158.166771
-8063995.285061,8784,40174.547909
-20369922.995883,8784,40190.890121
-35129776.735884,8784,40207.267852
-10924668.953046,8784,40223.590641
-27018826.034364,8784,40239.960748
-17854144.87533,8784,40256.267464
-7779359.757765,8784,40272.605568
-14004162.152202,8784,40288.902137
-11150994.610698,8784,40305.181164
-34687230.395975,8784,40321.492784
-9057106.172662,8784,40337.823439
-22736288.302022,8784,40354.298852
-48566218.099329,8784,40412.954651
-18544221.425745,8784,40429.303693
-5584939.798923,8784,40445.625369
-85745340.2665,8784,40462.02806
-42694968.070439,8784,40478.397815
-16917900.523775,8784,40494.745117
-15968129.455337,8784,40511.069592
-16965996.845441,8784,40527.401903
-25399464.382529,8784,40543.747448
-47115310.559548,8784,40560.08057
-63842588.914826,8784,40576.446482
-21477244.908714,8784,40592.737223
-15224688.820728,8784,40609.060793
-27734165.809385,8784,40625.40615
-43002426.586409,8784,40641.762592
-51989703.168194,8784,40658.088477
-56176561.034947,8784,40674.404375
-11393155.31316,8784,40690.735247
-54981879.735675,8784,40707.155616
-30836212.868044,8784,40723.500269
-26026574.74749,8784,40739.95616
-23306425.692164,8784,40756.292392
-21417913.771162,8784,40772.69029
-23814606.203919,8784,40789.074091
-27075172.835511,8784,40805.47182
-7959602.95226,8784,40821.808522
-7596218.628548,8784,40838.16217
-17569956.474259,8784,40854.470957
-18234374.643049,8784,40870.834572
-26512326.54306,8784,40887.159439
-10845119.81346,8784,40903.553266
-39530435.378679,8784,40919.935836
-40139178.675132,8784,40936.291346
-18748846.017926,8784,40952.709538
-39598473.394756,8784,40969.107175
-6505845.818218,8784,40985.491325
-24884006.731328,8784,41001.869947
-9064047.601086,8784,41018.294651
-35050088.273891,8784,41034.715693
-14553624.022251,8784,41051.159392
-4649952.435871,8784,41067.581944
-21989308.396264,8784,41084.005326
-8698349.847004,8784,41100.453552
-43037224.149835,8784,41116.861092
-33672019.476405,8784,41133.232488
-31004071.557799,8784,41149.655212
-36756715.195986,8784,41166.128786
-83118142.762192,8784,41182.625689
-8174149.86461,8784,41199.099044
-37581522.423536,8784,41215.536236
-28201559.979721,8784,41274.196502
-30226104.346096,8784,41290.593261
-16405559.986611,8784,41307.003566
-8120220.648245,8784,41323.402683
-35669870.042035,8784,41339.828035
-79202200.689419,8784,41356.350045
-19906660.169022,8784,41372.757782
-23364812.725187,8784,41389.180828
-23286466.631921,8784,41405.557325
-48318811.158608,8784,41421.879692
-47288189.922993,8784,41438.267636
-6304280.7432,8784,41454.698282
-41427081.613748,8784,41471.141801
-19915502.599148,8784,41487.615943
-39667002.799577,8784,41504.019423
-40682068.917246,8784,41520.530184
-24490496.081976,8784,41536.88544
-63839421.806708,8784,41553.3341
-24916123.057132,8784,41569.813486
-67654989.570423,8784,41586.286774
-43810685.447919,8784,41602.672934
-18596993.33295,8784,41619.148579
-44107324.387669,8784,41635.611907
-15701364.137683,8784,41652.126168
-9829674.853165,8784,41668.500833
-25800749.960836,8784,41684.92761
-62892646.160987,8784,41701.377661
-14318318.204683,8784,41717.713649
-15608971.692111,8784,41734.769913
-6425360.373888,8784,41751.258917
-14035593.897475,8784,41767.755079
-47681323.967303,8784,41784.215214
-53795529.779694,8784,41800.654514
-11918279.979062,8784,41817.159874
-5152682.014543,8784,41833.640009
-50598575.119947,8784,41850.130687
-70727779.279037,8784,41866.609644
-31105280.056154,8784,41883.041119
-97737436.618185,8784,41899.539788
