train/n_updates,time/total_timesteps,time/time_elapsed,train/learning_rate,time/fps,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
53230020,53231040,107414,4.850005692167579e-05,495,6.394803358489299e-06,0.1,-9725169.464277958,8784.0,6060,,
53265160,53266176,107485,4.840004553734063e-05,495,6.0474386600617436e-06,0.1,-9584051.100460399,8784.0,6064,,
53300300,53301312,107555,4.830003415300546e-05,495,5.063088769929891e-06,0.1,-9708983.88589605,8784.0,6068,,
53335440,53336448,107626,4.8200022768670303e-05,495,5.190821264022816e-06,0.1,-9630764.66536603,8784.0,6072,,
53370580,53371584,107696,4.8100011384335156e-05,495,6.561587724718265e-06,0.1,-9804100.27429476,8784.0,6076,,
53405700,53406720,107767,4.8000056921675775e-05,495,5.226668304203486e-06,0.1,-9916625.44257286,8784.0,6080,,
53440840,53441856,107837,4.790004553734062e-05,495,5.67520932008847e-06,0.1,-10049561.43261882,8784.0,6084,,
53475980,53476992,107908,4.7800034153005466e-05,495,5.541234327210987e-06,0.1,-10280824.32189022,8784.0,6088,,
53511120,53512128,107979,4.770002276867032e-05,495,5.8586554018802415e-06,0.1,-10538925.570088362,8784.0,6092,,
53546260,53547264,108049,4.7600011384335164e-05,495,5.575034754201624e-06,0.1,-10548664.996691922,8784.0,6096,,
53581380,53582400,,4.7500056921675783e-05,,6.543299150507664e-06,0.1,,,,8784.0,-5979680.8654628005
,53582400,108162,,495,,0.1,-10390749.28895996,8784.0,6100,,
53616520,53617536,108233,4.740004553734063e-05,495,5.554105496230477e-06,0.1,-10627883.53078796,8784.0,6104,,
53651660,53652672,108303,4.7300034153005454e-05,495,6.336732576528448e-06,0.1,-10708812.58961379,8784.0,6108,,
53686800,53687808,108374,4.7200022768670306e-05,495,5.7770857210925895e-06,0.1,-10795534.45685867,8784.0,6112,,
53721940,53722944,108444,4.710001138433515e-05,495,7.142237177504285e-06,0.1,-11033454.47809776,8784.0,6116,,
53757060,53758080,108515,4.700005692167577e-05,495,5.932234421379689e-06,0.1,-11215931.64478702,8784.0,6120,,
53792200,53793216,108586,4.690004553734062e-05,495,6.415725079023105e-06,0.1,-11263596.93747351,8784.0,6124,,
